no;unit;year;treated;gdp
1;1;1;0;0.873546189
2;2;1;0;2.683643324
3;3;1;0;2.664371388
4;4;1;0;6.095280802
5;5;1;0;5.829507772
6;6;1;0;5.679531616
7;7;1;0;7.987429052
8;8;1;0;9.238324705
9;9;1;0;10.07578135
10;10;1;0;10.19461161
11;1;2;0;3.511781168
12;2;2;0;3.389843236
13;3;2;0;3.378759419
14;4;2;0;2.785300113
15;5;2;0;7.124930918
16;6;2;0;6.955066391
17;7;2;0;7.983809737
18;8;2;0;9.943836211
19;9;2;0;10.8212212
20;10;2;0;11.59390132
21;1;3;0;3.418977372
22;2;3;0;4.282136301
23;3;3;0;4.574564983
24;4;3;0;3.510648304
25;5;3;0;7.119825748
26;6;3;0;7.44387126
27;7;3;0;8.344204493
28;8;3;0;8.029247616
29;9;3;0;10.02184994
30;10;3;0;11.91794156
31;1;4;0;4.358679552
32;2;4;0;3.897212273
33;3;4;0;5.387671612
34;4;4;0;5.946194959
35;5;4;0;5.622940443
36;6;4;0;7.585005437
37;7;4;0;8.605710046
38;8;4;0;9.940686603
39;9;4;0;12.10002537
40;10;4;0;12.76317575
41;1;5;0;3.335476404
42;2;5;0;4.24663832
43;3;5;0;6.196963375
44;4;5;0;7.056663199
45;5;5;0;6.811244305
46;6;5;0;7.792504843
47;7;5;0;9.864581962
48;8;5;0;11.26853292
49;9;5;0;11.38765379
50;10;5;0;13.38110773
51;1;6;0;4.39810588
52;2;6;0;4.387973607
53;3;6;0;6.341119691
54;4;6;0;5.870636904
55;5;6;0;9.433023702
56;6;6;0;10.9803999
57;7;6;0;9.632778524
58;8;6;0;9.955865374
59;9;6;0;12.56971963
60;10;6;0;12.8649454
61;1;7;0;6.901617761
62;2;7;0;5.460759997
63;3;7;0;7.189739362
64;4;7;0;7.528002159
65;5;7;0;7.756726791
66;6;7;0;9.6887923
67;7;7;0;8.695041371
68;8;7;0;12.96555486
69;9;7;0;12.65325334
70;10;7;0;15.67261167
71;1;8;0;5.475509529
72;2;8;0;5.290053569
73;3;8;0;7.610726353
74;4;8;0;7.065902368
75;5;8;0;7.7463666
76;6;8;0;10.29144624
77;7;8;0;10.55670813
78;8;8;0;12.00110535
79;9;8;0;13.07434132
80;10;8;0;13.41047905
81;1;9;0;4.931331267
82;2;9;0;6.364821385
83;3;9;0;8.678086997
84;4;9;0;6.9764332
85;5;9;0;10.09394619
86;6;9;0;10.83295037
87;7;9;0;12.56309984
88;8;9;0;12.19581608
89;9;9;0;13.87001881
90;10;9;0;14.76709879
91;1;10;0;5.457479969
92;2;10;0;8.207867806
93;3;10;0;9.160402616
94;4;10;0;9.70021365
95;5;10;0;11.58683345
96;6;10;0;11.55848643
97;7;10;0;10.72340779
98;8;10;0;12.42673459
99;9;10;0;12.77538739
100;10;10;0;14.52659936
101;1;11;0;5.879633323
102;2;11;0;7.542115873
103;3;11;0;7.589078351
104;4;11;0;9.658028772
105;5;11;0;9.845415356
106;6;11;0;13.26728727
107;7;11;0;13.21670748
108;8;11;0;14.41017423
109;9;11;0;14.88418536
110;10;11;0;17.18217608
111;1;12;0;6.364263546
112;2;12;0;7.53835527
113;3;12;0;10.43228224
114;4;12;0;9.349303647
115;5;12;0;10.79261926
116;6;12;0;11.60719207
117;7;12;0;12.68000713
118;8;12;0;13.7208867
119;9;12;0;15.49418833
120;10;12;0;15.82266952
121;1;13;0;6.994042538
122;2;13;0;9.843038825
123;3;13;0;9.285420591
124;4;13;0;10.32044347
125;5;13;0;11.39980926
126;6;13;0;13.21266631
127;7;13;0;13.4264356
128;8;13;0;14.46236583
129;9;13;0;14.81833952
130;10;13;0;16.17572973
131;1;14;0;8.06016044
132;2;14;0;8.411105514
133;3;14;0;10.53149619
134;4;14;0;9.481605918
135;5;14;0;12.30655786
136;6;14;0;11.46355018
137;7;14;0;13.69902387
138;8;14;0;14.4717201
139;9;14;0;15.34790522
140;10;14;0;16.94310322
141;1;15;0;6.585640574
142;2;15;0;10.67658331
143;3;15;0;8.835027564
144;4;15;0;11.0364696
145;5;15;0;11.38407989
146;6;15;0;12.749181
147;7;15;0;16.58716655
148;8;15;0;15.51739562
149;9;15;0;15.21369947
150;10;15;0;15.85939447
151;1;16;1;12.4501871
152;2;16;0;9.981440167
153;3;16;0;10.68193163
154;4;16;0;11.07063785
155;5;16;0;11.51253969
156;6;16;0;12.9248077
157;7;16;0;16.0000288
158;8;16;0;15.37873331
159;9;16;0;15.61557315
160;10;16;0;19.86929062
161;1;17;1;12.92510038
162;2;17;0;10.2613529
163;3;17;0;12.55848305
164;4;17;0;13.38642265
165;5;17;0;12.88075695
166;6;17;0;16.70610246
167;7;17;0;15.24497297
168;8;17;0;15.07550535
169;9;17;0;17.3556004
170;10;17;0;18.70753834
171;1;18;1;15.3079784
172;2;18;0;11.10580237
173;3;18;0;12.45699881
174;4;18;0;12.92284706
175;5;18;0;13.66599916
176;6;18;0;14.96527397
177;7;18;0;16.78763961
178;8;18;0;19.07524501
179;9;18;0;19.02739244
180;10;18;0;20.2079084
181;1;19;1;12.26867658
182;2;19;0;12.48389557
183;3;19;0;12.7199248
184;4;19;0;12.03274997
185;5;19;0;15.02102274
186;6;19;0;15.3412454
187;7;19;0;17.96458731
188;8;19;0;16.733918
189;9;19;0;18.06978825
190;10;19;0;18.5738905
191;1;20;1;13.82289604
192;2;20;0;12.40201178
193;3;20;0;12.26825183
194;4;20;0;14.83037317
195;5;20;0;13.79191721
196;6;20;0;14.95201559
197;7;20;0;18.44115771
198;8;20;0;16.98415253
199;9;20;0;19.41197471
200;10;20;0;19.61892395
